States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,ysr,2022,2,TOTAL,33154559,87601310069.59737
andhra-pradesh,west godavari,2022,2,TOTAL,44409239,107973244960.42824
andhra-pradesh,kurnool,2022,2,TOTAL,40165692,92409350855.50198
andhra-pradesh,chittoor,2022,2,TOTAL,67507661,136435445124.75616
andhra-pradesh,guntur,2022,2,TOTAL,66315749,147098141568.7623
andhra-pradesh,krishna,2022,2,TOTAL,73525814,163997729295.93134
andhra-pradesh,east godavari,2022,3,TOTAL,61467134,129677722169.74829
andhra-pradesh,srikakulam,2022,3,TOTAL,22126541,46899962921.785614
andhra-pradesh,spsr nellore,2022,3,TOTAL,42116582,95099325968.25972
andhra-pradesh,vizianagaram,2022,3,TOTAL,20440645,42513313394.84207
andhra-pradesh,visakhapatnam,2022,3,TOTAL,97434546,181124419863.61444
andhra-pradesh,prakasam,2022,3,TOTAL,35376080,87475230073.46387
andhra-pradesh,anantapur,2022,3,TOTAL,45165363,97735649608.10074
andhra-pradesh,ysr,2022,3,TOTAL,33119038,86016932181.12372
andhra-pradesh,west godavari,2022,3,TOTAL,43635951,101706854744.31876
andhra-pradesh,kurnool,2022,3,TOTAL,39557913,88415335176.31995
andhra-pradesh,chittoor,2022,3,TOTAL,65751781,133053581631.6395
andhra-pradesh,guntur,2022,3,TOTAL,65612317,141588522953.23773
andhra-pradesh,krishna,2022,3,TOTAL,71051144,153770559025.69125
andhra-pradesh,east godavari,2022,4,TOTAL,68016055,136531110139.86256
andhra-pradesh,srikakulam,2022,4,TOTAL,23693779,47726411107.88628
andhra-pradesh,spsr nellore,2022,4,TOTAL,42582064,92085916180.6851
andhra-pradesh,vizianagaram,2022,4,TOTAL,22205190,44467386404.34758
andhra-pradesh,visakhapatnam,2022,4,TOTAL,103790055,185306149744.73108
andhra-pradesh,prakasam,2022,4,TOTAL,37211077,88105031866.36835
andhra-pradesh,anantapur,2022,4,TOTAL,48299601,101533878537.23433
andhra-pradesh,ysr,2022,4,TOTAL,35201596,87360426792.81667
andhra-pradesh,west godavari,2022,4,TOTAL,47919930,105335724990.59325
andhra-pradesh,kurnool,2022,4,TOTAL,43524766,94667441029.08345
andhra-pradesh,chittoor,2022,4,TOTAL,70322534,136840859888.18155
andhra-pradesh,guntur,2022,4,TOTAL,70723763,146938735166.52365
andhra-pradesh,krishna,2022,4,TOTAL,76526667,157826011193.35443
arunachal-pradesh,lower dibang valley,2018,1,TOTAL,1356,1076236.814073793
arunachal-pradesh,lower subansiri,2018,1,TOTAL,1477,3650727.893614269
arunachal-pradesh,longding,2018,1,TOTAL,2321,4361531.578447229
arunachal-pradesh,west siang,2018,1,TOTAL,1887,4796675.565399804
arunachal-pradesh,kamle,2018,1,TOTAL,14,7971.330494807651
arunachal-pradesh,upper siang,2018,1,TOTAL,126,186610.66988095018
arunachal-pradesh,tirap,2018,1,TOTAL,945,1064265.0002443574
arunachal-pradesh,papum pare,2018,1,TOTAL,14224,32555848.462331478
arunachal-pradesh,kurung kumey,2018,1,TOTAL,84,99416.58027150274
arunachal-pradesh,siang,2018,1,TOTAL,252,339471.80434222345
arunachal-pradesh,lower siang,2018,1,TOTAL,1292,2337960.7148240386
arunachal-pradesh,kra daadi,2018,1,TOTAL,207,495375.1454853307
arunachal-pradesh,changlang,2018,1,TOTAL,3195,5380749.415278763
