States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
maharashtra,2020,4,TOTAL,407621004,622155530832.2585
dadra & nagar haveli & daman & diu,2020,4,TOTAL,1817791,2700511100.828503
meghalaya,2020,4,TOTAL,754008,1804242572.1989727
andaman & nicobar islands,2020,4,TOTAL,224531,627282656.3148524
haryana,2020,4,TOTAL,83171439,159998504366.53964
rajasthan,2020,4,TOTAL,190283435,386034779836.48376
ladakh,2020,4,TOTAL,332134,1111963470.5079594
punjab,2020,4,TOTAL,22997925,53775406479.553894
assam,2020,4,TOTAL,15423454,40226611319.263756
jharkhand,2020,4,TOTAL,39431633,72805174830.04245
odisha,2020,4,TOTAL,92324950,178302663014.6175
bihar,2020,4,TOTAL,96591673,238905613136.47186
kerala,2020,4,TOTAL,33288187,56755256647.011795
karnataka,2020,4,TOTAL,431536984,658036698565.0032
chandigarh,2020,4,TOTAL,2912716,6146762901.349345
telangana,2020,4,TOTAL,343643787,696350439226.9453
himachal pradesh,2020,4,TOTAL,7272328,13989053108.813015
west bengal,2020,4,TOTAL,100340645,199165491365.6468
gujarat,2020,4,TOTAL,77828547,148393060112.4366
sikkim,2020,4,TOTAL,735035,1919275805.122922
nagaland,2020,4,TOTAL,847825,2773084870.5627017
mizoram,2020,4,TOTAL,322607,986522115.6939572
chhattisgarh,2020,4,TOTAL,35529636,62214974283.94806
jammu & kashmir,2020,4,TOTAL,5754444,15380905803.378227
goa,2020,4,TOTAL,3801381,6899792747.579928
arunachal pradesh,2020,4,TOTAL,1209129,3570264021.8456187
delhi,2020,4,TOTAL,120540417,216265088224.5436
uttarakhand,2020,4,TOTAL,17613271,31792739329.110085
puducherry,2021,1,TOTAL,3309432,5899309571.743641
tamil nadu,2021,1,TOTAL,136556674,248668143873.65317
uttar pradesh,2021,1,TOTAL,204499547,396287587577.5575
madhya pradesh,2021,1,TOTAL,201998498,343533954382.3015
andhra pradesh,2021,1,TOTAL,289747970,672444670176.5881
tripura,2021,1,TOTAL,1511423,3335341569.793424
lakshadweep,2021,1,TOTAL,9085,27042782.914081153
manipur,2021,1,TOTAL,2303535,7070287514.479244
maharashtra,2021,1,TOTAL,517860240,769887352153.2483
dadra & nagar haveli & daman & diu,2021,1,TOTAL,1925244,2965632911.1935043
meghalaya,2021,1,TOTAL,747646,2055515277.9898345
andaman & nicobar islands,2021,1,TOTAL,244752,783706567.3897561
haryana,2021,1,TOTAL,90252784,168938301082.4288
rajasthan,2021,1,TOTAL,252730919,491492581657.63354
ladakh,2021,1,TOTAL,275415,983419813.2468786
punjab,2021,1,TOTAL,26770835,58690887091.106735
assam,2021,1,TOTAL,19512060,51326464546.12217
jharkhand,2021,1,TOTAL,44621663,83749353123.13824
odisha,2021,1,TOTAL,111460358,213397736188.33783
bihar,2021,1,TOTAL,114932477,280973649701.2259
kerala,2021,1,TOTAL,42316342,69260970161.89497
karnataka,2021,1,TOTAL,523797492,754995357412.3948
chandigarh,2021,1,TOTAL,3970237,7596420859.545994
telangana,2021,1,TOTAL,412572110,799359264046.5657
himachal pradesh,2021,1,TOTAL,7614029,14120546909.487547
west bengal,2021,1,TOTAL,118254052,242937207475.5198
gujarat,2021,1,TOTAL,94774565,183700780713.44968
sikkim,2021,1,TOTAL,800189,2217667726.8407273
nagaland,2021,1,TOTAL,975897,3107450484.613187
mizoram,2021,1,TOTAL,329575,1101105586.9459367
chhattisgarh,2021,1,TOTAL,39436437,69409843261.55008
jammu & kashmir,2021,1,TOTAL,6997570,17138349893.151793
goa,2021,1,TOTAL,5331549,9757242879.021431
arunachal pradesh,2021,1,TOTAL,1177456,3813779079.0166435
delhi,2021,1,TOTAL,157359004,266928345043.49225
uttarakhand,2021,1,TOTAL,20608402,36288189399.89833
puducherry,2021,2,TOTAL,3751387,6498834696.543897
tamil nadu,2021,2,TOTAL,146158442,263487341026.54623
uttar pradesh,2021,2,TOTAL,241949131,482172489166.39343
madhya pradesh,2021,2,TOTAL,223314680,425500768035.631
andhra pradesh,2021,2,TOTAL,352767134,850737499108.2986
tripura,2021,2,TOTAL,1744429,3468154361.036266
lakshadweep,2021,2,TOTAL,11384,27383463.657951534
